Size,BST_Random_Insert,BST_Balanced_Insert,SortedSet_Insert,BST_Random_Delete,BST_Balanced_Delete,SortedSet_Delete
10,0.005417037755250931,0.0027921050786972046,0.01133279874920845,0.006041955202817917,0.0026668421924114227,0.009875278919935226
25,0.0075837597250938416,0.00658305361866951,0.00837491825222969,0.007041729986667633,0.006250105798244476,0.010041985660791397
50,0.016625039279460907,0.016417354345321655,0.014999881386756897,0.01529185101389885,0.01358427107334137,0.018500257283449173
100,0.03579212352633476,0.030625145882368088,0.03137486055493355,0.03483286127448082,0.028292182832956314,0.03737490624189377
250,0.14787539839744568,0.10587507858872414,0.08083321154117584,0.1088753342628479,0.07124990224838257,0.0950000248849392
500,0.2615000121295452,0.2222089096903801,0.18300022929906845,0.23583322763442993,0.15191687270998955,0.20254170522093773
1000,0.6254999898374081,0.45229168608784676,0.41791703552007675,0.5879998207092285,0.334249809384346,0.4216250963509083
2500,1.722916029393673,1.57158263027668,1.3910001143813133,1.6725421883165836,0.9308331646025181,1.1253338307142258
5000,3.6102496087551117,2.954666968435049,3.1086253002285957,3.5759583115577698,1.9960417412221432,2.288208808749914
10000,8.256500121206045,5.782458931207657,6.771249696612358,7.8637078404426575,4.192749969661236,4.9275001510977745
